puntaje,top_n,rebalanceo_dias,buffer,max_por_sector,in_retorno_anual (CAGR),in_max_drawdown,in_retorno/caida (MAR),in_compras_por_anio,in_spy_retorno_anual,out_retorno_anual (CAGR),out_max_drawdown,out_retorno/caida (MAR),out_compras_por_anio,out_spy_retorno_anual
r126,10,5,10,no,0.4003954865624606,-0.38510740266716426,1.0396982342832535,47.20918367346939,0.09991605249306557,0.5070277626060442,-0.343334544607906,1.4767746810478353,51.52681851579721,0.2233035152271916
r252,8,21,10,no,0.3898921628328482,-0.37529123853447743,1.0389055826493254,14.334772370486656,0.09991605249306557,0.5945357035041525,-0.3768191539065693,1.5777746362955987,18.517450404114623,0.2233035152271916
r126,8,5,5,3,0.4238569170587865,-0.40810295105584604,1.0386029210574972,59.05926216640502,0.09991605249306557,0.6544595150400656,-0.3393968283372756,1.9283018001267134,60.11462160176341,0.2233035152271916
r252,8,21,5,no,0.3879411972803386,-0.3746688522715963,1.0354242017404778,18.73076923076923,0.09991605249306557,0.6560992703838107,-0.3725936604203277,1.7608975677247343,22.00624540778839,0.2233035152271916
r252,8,21,10,3,0.37040920734036176,-0.36220161009754837,1.022660300269242,16.24607535321821,0.09991605249306557,0.6703489529273057,-0.3521620787753206,1.9035239548179415,20.932770022042618,0.2233035152271916
r126,10,5,5,no,0.4043816597401262,-0.3957688106799655,1.0217623239319011,64.98430141287284,0.09991605249306557,0.51957626348089,-0.33860955848198293,1.5344406277548606,63.87178545187363,0.2233035152271916
mix,5,5,10,3,0.4107757962819534,-0.4099306879849228,1.00206158826797,24.846938775510203,0.09991605249306557,0.6280873429042912,-0.40251168827641504,1.5604201348631836,26.83688464364438,0.2233035152271916
r252,8,21,5,3,0.36002253475134216,-0.3604769933607114,0.998739285397572,21.78885400313972,0.09991605249306557,0.714150994279473,-0.34511410246582075,2.0693184925707313,23.8848273328435,0.2233035152271916
r126,10,21,10,3,0.4120212287842089,-0.42139666952913357,0.9777515072546711,39.18171114599686,0.09991605249306557,0.419674640549659,-0.34125123512215916,1.2298113452964536,40.52369581190302,0.2233035152271916
r252,10,21,10,no,0.3440448589241185,-0.3552898779853706,0.9683497342366868,20.259811616954472,0.09991605249306557,0.5747800994439887,-0.3484927358353789,1.6493316512499805,24.15319617927994,0.2233035152271916
